codigo_tuss,produto,produto_tratado,laboratorio,valor
90385926,ACERTANLO 14 MG. + 10 MG. CT. TB. PLAS. PP. OPC. X 30 CPRS,ACERTANLO 14mg,SERVIER,4.2577
90385926,ACERTANLO 14+10MG 30CPDS,ACERTANLO 14mg,SERVIER,4.2534
90385950,"ACERTANLO 3,5 MG. + 2,5 MG. CT. TB. PLAS. PP. OPC. X 30 CPRS",ACERTANLO 3.5mg,SERVIER,1.2453
90385950,"ACERTANLO 3,5+2,5MG 30CPDS",ACERTANLO 3.5mg,SERVIER,1.2441
90385985,ACERTANLO 7 MG. + 5 MG. CT. TB. PLAS. PP. OPC. X 30 CPRS,ACERTANLO 7mg,SERVIER,1.694
90385985,ACERTANLO 7+5MG 30CPDS,ACERTANLO 7mg,SERVIER,1.6923
90288084,ACERTIL 10 MG. CX. TB. PLAST. X 30,ACERTIL 10mg,SERVIER,1.8268
90288050,ACERTIL 5 MG. CX. TB. PLAST. X 30,ACERTIL 5mg,SERVIER,1.37
90288050,ACERTIL 5MG 30CPDS,ACERTIL 5mg,SERVIER,1.37
90247612,ACESYL 100 MG/ML SOL. INJ. CX. 50 AMPS. VD. AMB. X 1 ML CASULA E,ACESYL 100mg,VASCONCELO,10.0106
90413652,ACETATO ABIRATERONA 250MG 120CPDS SUN,ACETATO 250mg,FARMACEUTICA,62.8238
90398661,ACETATO ABIRATERONA GEN.250MG 120CPDS REV.,ACETATO 250mg,DR.REDDY'S,62.8191
90398645,ACETATO ABIRATERONA GEN.250MG 30CPDS REV.,ACETATO 250mg,DR.REDDY'S,63.0129
90398653,ACETATO ABIRATERONA GEN.250MG 60CPDS REV.,ACETATO 250mg,DR.REDDY'S,63.2022
90415183,"ACETATO ATOSIBANA GEN.7,50MG/ML SOL.DIL.INJ.5ML",ACETATO 37.5mg,ACCORD,481.57
90356276,"ACETATO CIPROTERONA+ETINILESTRADIOL 2+0,035MG 21CPDS REV.",ACETATO 2mg,CIFARMA,0.6683
90398661,ACETATO DE ABIRATERONA - GENERICO 250 MG. CT. FR. PLAS. OPC. DR.,ACETATO 250mg,REDDY'S,63.0714
90398645,ACETATO DE ABIRATERONA - GENERICO 250 MG. CT. FR. PLAS. OPC. DR.,ACETATO 250mg,REDDY'S,63.076
90398653,ACETATO DE ABIRATERONA - GENERICO 250 MG. CT. FR. PLAS. OPC. DR.,ACETATO 250mg,REDDY'S,63.076
90413652,ACETATO DE ABIRATERONA - GENERICO 250 MG. CT. FR. PLAST. OPC.,ACETATO 250mg,SUN,62.8238
90415183,"ACETATO DE ATOSIBANA - GENERICO (RESTRITO HOSP.) 7,50 MG/ML.",ACETATO 7.5mg,ACCORD,481.57
90356276,ACETATO DE CIPROTERONA + ETINILESTRADIOL - GENERICO 2 MG. + 0,ACETATO 2mg,MABRA,0.6686
90356276,ACETATO DE CIPROTERONA + ETINILESTRADIOL - GENERICO 2 MG. + 0,ACETATO 2mg,MABRA,0.6686
90282930,"ACETATO DE CIPROTERONA + ETINILESTRADIOL - GENERICO 2,0 MG. NEO",ACETATO 2mg,QUIMICA,0.6778
90120655,ACETATO DE CIPROTERONA - GENERICO 50 MG. BL. 20 CPRS.,ACETATO 50mg,BERGAMO,3.299
90316428,ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA - GENERICO 5 MG/,ACETATO 5mg,MEDLEY,19.79
90316410,ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA - GENERICO 5 MG/,ACETATO 5mg,MEDLEY,33.75
90120663,"ACETATO DE DESMOPRESSINA - GENERICO 0,1 MG/ML SPRAY NASAL 1",ACETATO 0.1mg,BERGAMO,140.3
90135032,ACETATO DE DEXAMETASONA - GENERICO (RESTRITO HOSP.) 1 MG/G C TEUTO,ACETATO 1mg,BRAS.,5.2926
90177789,ACETATO DE DEXAMETASONA - GENERICO (RESTRITO HOSP.) 1 MG/G C PRATI,ACETATO 1mg,DONADUZZI,4.6019
90385837,ACETATO DE DEXAMETASONA - GENERICO (RESTRITO HOSP.) 1 MG/G CR,ACETATO 1mg,SANVAL,7.082
90177770,ACETATO DE DEXAMETASONA - GENERICO 1 MG/G CREM. DERM. CT. BG PRATI,ACETATO 1mg,DONADUZZI,7.04
90135016,ACETATO DE DEXAMETASONA - GENERICO 1 MG/G CREME DERM. 10 G TEUTO,ACETATO 10000mg,BRAS.,7.02
90206517,ACETATO DE DEXAMETASONA - GENERICO 1 MG/G CREME DERM. BISN. UNIAO,ACETATO 1mg,QUIMICA,6.25
90051696,ACETATO DE DEXAMETASONA - GENERICO 1 MG/G CREME DERM. BISN.,ACETATO 1mg,EMS,7.08
90081153,ACETATO DE DEXAMETASONA - GENERICO 1 MG/G CREME DERM. BISN.,ACETATO 1mg,GERMED,7.1
90354176,"ACETATO DE DEXAMETASONA - GENERICO 1,0 MG/G CREME DERM. BISN",ACETATO 1mg,MULTILAB,7.1
90279425,ACETATO DE DEXAMETASONA - GENERICO CREME DERM. 1 MG/G BISN.,ACETATO 1mg,GEOLAB,6.57
90206533,ACETATO DE HIDROCORTISONA - GENERICO 10 MG/G CREME DERM. BIS UNIAO,ACETATO 10mg,QUIMICA,8.87
90135059,ACETATO DE HIDROCORTISONA - GENERICO 10 MG/G CREME DERM. BIS TEUTO,ACETATO 10mg,BRAS.,15.06
90135040,ACETATO DE HIDROCORTISONA - GENERICO 10 MG/G CREME DERM. BIS TEUTO,ACETATO 10mg,BRAS.,8.33
90381076,ACETATO DE HIDROCORTISONA - GENERICO 10 MG/G CREME DERM. BIS TEUTO,ACETATO 10mg,BRAS.,9.59
90280687,ACETATO DE PREDNISOLONA - GENERICO SUSP. OFT. 10 MG/ML FR. 5,ACETATO 10mg,GEOLAB,21.17
90037588,ACETATO DE SÓDIO (RESTRITO HOSP.) 2 MEQ/ML. SOL. INJ. IV CX. CASULA E,ACETATO 2mg,VASCONCELO,2.3128
90381076,ACETATO HIDROCORTISONA GEN.10MG/G CRM.DERM.20G TEUTO,ACETATO 20000mg,BRAS,9.59
90297296,ACETATO PREDNISOLONA 10MG/ML SUSP.OFT.5ML,ACETATO 50mg,ALCON,19.85
90266200,ACETICIL 100 MG. CX. 200 CPRS.,ACETICIL 100mg,CAZI,0.1427
90266218,ACETICIL 500 MG. CX. 500 CPRS.,ACETICIL 500mg,CAZI,0.2116
90259211,ACETILCISTEINA - GENERICO (LIBERADO) 20 MG/ML XPE. FR. VD. AM TEUTO,ACETILCISTEINA 20mg,BRAS.,24.31
90259220,ACETILCISTEINA - GENERICO (LIBERADO) 40 MG/ML XPE. FR. VD. AM TEUTO,ACETILCISTEINA 40mg,BRAS.,31.8
90219180,ACETILCISTEINA - GENERICO (RESTRITO HOSP.) 100 MG/ML SOL. IN,ACETILCISTEINA 100mg,BLAUSIEGEL,2.6591
90288130,ACETILCISTEINA - GENERICO 10% SOL. INJ. 5 AMPS. VD. X 3 ML UNIAO,ACETILCISTEINA 10mg,QUIMICA,2.676
90251105,ACETILCISTEINA - GENERICO 100 MG 16 SACHET X 5 G,ACETILCISTEINA 5000mg,EUROFARMA,1.2344
90274342,ACETILCISTEINA - GENERICO 120 MG/G. GRAN. CT. C/16 ENV. X 5 G PRATI,ACETILCISTEINA 5000mg,DONADUZZI,2.7225
90274326,ACETILCISTEINA - GENERICO 20 MG/G. GRAN. CT. C/16 ENV. X 5 G. PRATI,ACETILCISTEINA 5000mg,DONADUZZI,1.2681
90381360,ACETILCISTEINA - GENERICO 20 MG/ML XPE. CT. FR. VD. AMB. X 1,ACETILCISTEINA 20mg,BIOSINTETICA,21.61
90259211,ACETILCISTEINA - GENERICO 20 MG/ML XPE. FR. VD. AMB. X 120 M TEUTO,ACETILCISTEINA 20mg,BRAS.,24.31
90051742,ACETILCISTEINA - GENERICO 20 MG/ML XPE. INF. FR. 120 ML,ACETILCISTEINA 2400mg,EMS,21.82
90081218,ACETILCISTEINA - GENERICO 20 MG/ML XPE. INF. FR. 120 ML,ACETILCISTEINA 2400mg,GERMED,19.7
90274245,"ACETILCISTEINA - GENERICO 20,0 MG/ML. XPE. CT. FR. VD. AMB. X PRATI",ACETILCISTEINA 20mg,DONADUZZI,22.43
90251113,ACETILCISTEINA - GENERICO 200 MG 16 SACHET X 5 G,ACETILCISTEINA 5000mg,EUROFARMA,1.3775
90051734,ACETILCISTEINA - GENERICO 200 MG. GRAN. 16 ENVS. X 5 G,ACETILCISTEINA 5000mg,EMS,1.2025
90274300,ACETILCISTEINA - GENERICO 40 MG/G. GRAN. CT. C/16 ENV. X 5 G. PRATI,ACETILCISTEINA 5000mg,DONADUZZI,1.3606
90051750,ACETILCISTEINA - GENERICO 40 MG/ML XPE. AD. FR. 120 ML,ACETILCISTEINA 4800mg,EMS,28.54
90081226,ACETILCISTEINA - GENERICO 40 MG/ML XPE. AD. FR. 120 ML,ACETILCISTEINA 4800mg,GERMED,26.27
90381378,ACETILCISTEINA - GENERICO 40 MG/ML XPE. CT. FR. VD. AMB. X 1,ACETILCISTEINA 40mg,BIOSINTETICA,28.27
90259220,ACETILCISTEINA - GENERICO 40 MG/ML XPE. FR. VD. AMB. X 120 M TEUTO,ACETILCISTEINA 40mg,BRAS.,31.8
90274270,"ACETILCISTEINA - GENERICO 40,0 MG/ML. XPE. CT. FR. VD. AMB. X PRATI",ACETILCISTEINA 40mg,DONADUZZI,29.23
90251121,ACETILCISTEINA - GENERICO 600 MG 16 SACHET X 5 G,ACETILCISTEINA 5000mg,EUROFARMA,3.0656
90264835,ACETILCISTEINA - GENERICO 600 MG. 16 ENVS. X 5 G,ACETILCISTEINA 5000mg,GERMED,2.325
90141725,ACETILCISTEINA - GENERICO 600 MG. 16 ENVS. X 5 G GEN -,ACETILCISTEINA 5000mg,LEGRAND,2.3175
90251083,ACETILCISTEINA - GENERICO XPE 20 MG FR. 100 ML.,ACETILCISTEINA 20mg,EUROFARMA,22.05
90251091,ACETILCISTEINA - GENERICO XPE 20 MG FR. 150 ML,ACETILCISTEINA 20mg,EUROFARMA,24.88
90078608,ACETILCISTEINA - GENERICO XPE AD. 40 MG/ML. FR. X 120 ML.,ACETILCISTEINA 4800mg,GEOLAB,27.42
90078594,ACETILCISTEINA - GENERICO XPE INF. 20 MG/ML. FR. X 120 ML.,ACETILCISTEINA 2400mg,GEOLAB,18.44
90381360,ACETILCISTEINA GEN.20MG/ML XPE.120ML+CP.MED.,ACETILCISTEINA 2400mg,BIOSINTETICA,21.61
90381378,ACETILCISTEINA GEN.40MG/ML XPE.120ML+CP.MED.,ACETILCISTEINA 4800mg,BIOSINTETICA,28.27
90264835,ACETILCISTEINA GEN.600MG 16ENV 5G GERMED,ACETILCISTEINA 5000mg,GENERICOS,2.325
90245857,ACETONIDA DE TRIANCINOLONA - GENERICO 1 MG/G BISN. 10 G GEN -,ACETONIDA 10000mg,LEGRAND,9.29
90081269,ACETONIDA DE TRIANCINOLONA - GENERICO 1 MG/G POM. BISN. 10 G,ACETONIDA 10000mg,GERMED,9.36
90177797,ACETONIDA DE TRIANCINOLONA - GENERICO 1 MG/G POM. BUCAL CT. PRATI,ACETONIDA 1mg,DONADUZZI,9.22
90078616,ACETONIDA DE TRIANCINOLONA - GENERICO POM. ORABASE 1 MG/G BI,ACETONIDA 1mg,GEOLAB,10.57
90051793,ACETONIDA TRIANC. + GRAM. + NEOMICINA + NISTATINA - GENERICO,ACETONIDA,EMS,23.66
90071328,ACETONIDA TRIANC. + GRAM. + NEOMICINA + NISTATINA - GENERICO,ACETONIDA,EUROFARMA,26.6
90071336,ACETONIDA TRIANC. + GRAM. + NEOMICINA + NISTATINA - GENERICO,ACETONIDA,EUROFARMA,24.37
90081242,ACETONIDA TRIANC. + GRAM. + NEOMICINA + NISTATINA - GENERICO,ACETONIDA,GERMED,23.14
90037669,ACFOL 5 MG. CX. 40 CPRS.,ACFOL 5mg,CAZI,0.246
90037677,ACFOL 5 MG. GTS. FR. 10 ML,ACFOL 5mg,CAZI,8.42
90342453,ACICLOVIR - GENERICO (*) 200 MG COM CT BL AL PLAS TRANS X 25,ACICLOVIR 200mg,PHARLAB,2.5172
90167783,ACICLOVIR - GENERICO (*) 200 MG. 2 BL. X 5 CPRS. NOVA,ACICLOVIR 200mg,QUIMICA,5.612
90391802,ACICLOVIR - GENERICO (*) 200 MG. 25 CPRS.,ACICLOVIR 200mg,MEDLEY,2.3192
90407466,ACICLOVIR - GENERICO (*) 200 MG. 3 BL. X 10 CPRS. NOVA,ACICLOVIR 200mg,QUIMICA,2.141
90167791,ACICLOVIR - GENERICO (*) 200 MG. 5 BL. X 5 CPRS. NOVA,ACICLOVIR 200mg,QUIMICA,3.8892
90124596,ACICLOVIR - GENERICO (*) 200 MG. BL. 25 CPRS.,ACICLOVIR 200mg,BIOSINTETICA,3.3564
90189655,ACICLOVIR - GENERICO (*) 200 MG. BL. 25 CPRS.,ACICLOVIR 200mg,SANDOZ,3.318
90312201,ACICLOVIR - GENERICO (*) 200 MG. BL. AL. PLAS. INC. X 25 CPR TEUTO,ACICLOVIR 200mg,BRAS.,2.3056
90402936,ACICLOVIR - GENERICO (*) 200 MG. BL. AL. PLAS. TRANS. X 50 CP,ACICLOVIR 200mg,SANDOZ,1.7112
90177819,ACICLOVIR - GENERICO (*) 200 MG. COM. CT. BL. AL. PLAS. INC. PRATI,ACICLOVIR 200mg,DONADUZZI,1.6662
90377958,ACICLOVIR - GENERICO (*) 200 MG. CT. BL. AL. PLAS. INC. X 25,ACICLOVIR 200mg,EUROFARMA,2.3056
90334329,ACICLOVIR - GENERICO (*) 200 MG. CX. 5 BL. X 5 CPRS. NEO,ACICLOVIR 200mg,QUIMICA,2.3444
90159330,ACICLOVIR - GENERICO (*) 200 MG. FR. PLAST. 25 CPRS.,ACICLOVIR 200mg,MERCK,3.2228
90159349,ACICLOVIR - GENERICO (*) 400 MG FR. PLAST. 30 CPRS.,ACICLOVIR 400mg,MERCK,5.2677
90391799,ACICLOVIR - GENERICO (*) 400 MG. 30 CPRS.,ACICLOVIR 400mg,MEDLEY,4.218
90227417,ACICLOVIR - GENERICO (*) 400 MG. BL. AL. PLAST. BCO OPC X 30,ACICLOVIR 400mg,SANDOZ,5.2674
90342470,"ACICLOVIR - GENERICO (*) POM. 30 MG/G BISN. 4,5 G",ACICLOVIR 4500mg,PHARLAB,48.81
90312210,ACICLOVIR - GENERICO (RESTRITO HOSP.) 250 MG. PO LIOF. IV IN TEUTO,ACICLOVIR 250mg,BRAS.,71.1206
90177851,ACICLOVIR - GENERICO (RESTRITO HOSP.) 50 MG/G CREM. DERM. CX PRATI,ACICLOVIR 50mg,DONADUZZI,14.1443
90185897,ACICLOVIR - GENERICO 200 MG. 2 BL. X 5 CPRS.,ACICLOVIR 200mg,RANBAXY,2.812
90185900,ACICLOVIR - GENERICO 200 MG. 5 BL. X 5 CPRS.,ACICLOVIR 200mg,RANBAXY,2.3444
90429150,ACICLOVIR - GENERICO 200 MG. CT. BL. AL. PLAS. INC. X 30 CPRS UNIAO,ACICLOVIR 200mg,QUIMICA,1.8327
90185919,ACICLOVIR - GENERICO 400 MG. 1 BL. X 10 CPRS.,ACICLOVIR 400mg,RANBAXY,5.627
90185927,ACICLOVIR - GENERICO 400 MG. 5 BL. X 5 CPRS.,ACICLOVIR 400mg,RANBAXY,4.6896
90412389,ACICLOVIR - GENERICO 400 MG. BL. 30 CPRS.,ACICLOVIR 400mg,RANBAXY,5.1535
90342461,ACICLOVIR - GENERICO 50 MG/G CREM DERM CT BG AL X 10 G,ACICLOVIR 10000mg,PHARLAB,16.45
90167805,ACICLOVIR - GENERICO 50 MG/G CR. DERM. BISN. 10 G NOVA,ACICLOVIR 10000mg,QUIMICA,19.33
90438965,ACICLOVIR - GENERICO 50 MG/G CREM. BISN. X 10 G,ACICLOVIR 10000mg,ACHE,17.36
90177843,ACICLOVIR - GENERICO 50 MG/G CREM. DERM. CT. BG. AL. X 10 G PRATI,ACICLOVIR 10000mg,DONADUZZI,17.17
90051831,ACICLOVIR - GENERICO 50 MG/G CREME DERM. BISN. 10 G,ACICLOVIR 10000mg,EMS,19.51
90040570,ACICLOVIR - GENERICO 50 MG/G CREME DERM. BISN. 10 GR.,ACICLOVIR 10000mg,CIFARMA,17.93
90044916,ACICLOVIR - GENERICO 50 MG/G CREME DERM. CX. 1 BISN. 10 G.,ACICLOVIR 10000mg,EUROFARMA,17.2
90124600,ACICLOVIR - GENERICO 50 MG/G CREME DERM. X 10 G,ACICLOVIR 10000mg,BIOSINTETICA,17.36
90163524,ACICLOVIR - GENERICO CREME 10 G,ACICLOVIR 10000mg,MULTILAB,16.65
90334221,ACICLOVIR - GENERICO CREME 50 MG/G BISN. 10 G NEO,ACICLOVIR 10000mg,QUIMICA,18.03
90311906,ACICLOVIR - GENERICO CREME 50 MG/G BISN. 10 G. TEUTO,ACICLOVIR 10000mg,BRAS.,17.69
90081277,ACICLOVIR - GENERICO CREME BISN. 10 G,ACICLOVIR 10000mg,GERMED,17.23
90141750,ACICLOVIR - GENERICO CREME BISN. 10 G GEN -,ACICLOVIR 10000mg,LEGRAND,17.34
90159365,ACICLOVIR - GENERICO CREME DERM. 50 MG/G BISN. 10 G,ACICLOVIR 10000mg,MERCK,16.28
90078624,ACICLOVIR - GENERICO CREME DERM. 50 MG/G BISN. 10 G,ACICLOVIR 10000mg,GEOLAB,18.07
90315294,ACICLOVIR - GENERICO CREME DERM. BISN. 10 G.,ACICLOVIR 10000mg,MEDLEY,18.98
90407466,ACICLOVIR 200MG 30CPDS NOVA QUIMICA,ACICLOVIR 200mg,GEN,2.1389
90412389,ACICLOVIR 400MG 30CPDS,ACICLOVIR 400mg,RANBAXY,5.1535
90312201,ACICLOVIR GEN.200MG 25CPDS TEUTO,ACICLOVIR 200mg,BRAS,2.3056
90377958,ACICLOVIR GEN.200MG 25CPDS,ACICLOVIR 200mg,EUROFARMA,2.3056
90429150,ACICLOVIR GEN.200MG 30CPDS UNIAO,ACICLOVIR 200mg,QUIMICA,1.8308
90402936,ACICLOVIR GEN.200MG 50CPDS,ACICLOVIR 200mg,SANDOZ,1.7112
90391802,ACICLOVIR GEN.200MG FR 25CPDS,ACICLOVIR 200mg,MEDLEY,2.3192
90391799,ACICLOVIR GEN.400MG 30CPDS,ACICLOVIR 400mg,MEDLEY,4.2138
90051840,ACIDO ACETIL SALICILICO - GENERICO 100 MG. 100 CPRS.,ACIDO 100mg,EMS,0.2346
90051858,ACIDO ACETIL SALICILICO - GENERICO 100 MG. 20 BL. X 10 CPRS.,ACIDO 100mg,EMS,0.2162
90051866,ACIDO ACETIL SALICILICO - GENERICO 100 MG. 3 BL. X 10 CPRS.,ACIDO 100mg,EMS,0.2274
90310624,ACIDO ASCORBICO (RESTRITO HOSP.) 100 MG/ML SOL. INJ. IV CX.,ACIDO 100mg,HYPOFARMA,0.6546
