codigo_tiss,codigo_tuss,produto,laboratorio,valor,cobranca
0000010751,90115821,ACEBROFILINA - GENERICO 10 MG/ML XPE. AD. FR. 120 ML NEO,QUIMICA,21.5,
0000061248,90312341,ACEBROFILINA - GENERICO 10 MG/ML XPE. CT. FR. PET. AMB. X 12 TEUTO,BRAS.,16.39,
0000071916,90382773,ACEBROFILINA - GENERICO 10 MG/ML XPE. CT. FR. PLAS. AMB. X 1,MEDQUIMICA,24.94,
0000010742,90051670,ACEBROFILINA - GENERICO 25 MG/5 ML 120 ML + COPO MED.,EMS,15.88,
0000010757,90354508,ACEBROFILINA - GENERICO 25 MG/5 ML XPE. FR. 120 ML,GERMED,16.1,
0000010759,90245733,ACEBROFILINA - GENERICO 25 MG/5 ML XPE. FR. 120 ML GEN -,LEGRAND,16.1,
0000010744,90065760,ACEBROFILINA - GENERICO 25 MG/5 ML XPE. INF. FR. 120 ML.,EUROFARMA,15.89,
0000029054,90234227,ACEBROFILINA - GENERICO 5 MG/ML XPE. 120 ML NOVA,QUIMICA,15.17,
0000071915,90382765,ACEBROFILINA - GENERICO 5 MG/ML XPE. CT. FR. PLAS. AMB. X 12,MEDQUIMICA,16.83,
0000061978,90312333,ACEBROFILINA - GENERICO 5 MG/ML XPE. FR. PLAST. AMB. X 120 M TEUTO,BRAS.,11.88,
0000010741,90124588,ACEBROFILINA - GENERICO 5 MG/ML XPE. FR. VD. 120 ML + CP. ME,BIOSINTETICA,15.41,
0000010748,90316274,ACEBROFILINA - GENERICO 5 MG/ML XPE. FR. VD. 120 ML + DOS.,MEDLEY,15.87,
0000010750,90115830,ACEBROFILINA - GENERICO 5 MG/ML XPE. INF. FR. 120 ML NEO,QUIMICA,15.85,
0000051050,90339800,ACEBROFILINA - GENERICO 50 MG. 120 ML XPE. FR. PET.,BIOSINTETICA,21.76,
0000010743,90051661,ACEBROFILINA - GENERICO 50 MG/5 ML 120 ML + COPO MED.,EMS,22.41,
0000010745,90065778,ACEBROFILINA - GENERICO 50 MG/5 ML XPE. AD. FR. 120 ML.,EUROFARMA,22.42,
0000010756,90354532,ACEBROFILINA - GENERICO 50 MG/5 ML XPE. FR. 120 ML,GERMED,21.95,
0000010758,90245741,ACEBROFILINA - GENERICO 50 MG/5 ML XPE. FR. 120 ML GEN -,LEGRAND,21.8,
0000071740,90078578,ACEBROFILINA - GENERICO XPE. AD. 10 MG/ML FR. 120 ML + CP. D,GEOLAB,21.06,
0000071741,90078586,ACEBROFILINA - GENERICO XPE. PED. 5 MG/ML FR. 120 ML + CP. D,GEOLAB,14.86,
0000061248,90312341,ACEBROFILINA GEN.10MG/ML XPE.120ML+CP TEUTO,BRAS,16.39,
0000061978,90312333,ACEBROFILINA GEN.5ML/ML XPE.120ML+CP. TEUTO,BRAS,11.88,
0000050163,90283708,ACECLO-GRAN 100 MG. 2 BL. X 6 CPRS. REV.,LEGRAND,1.9534,
0000049398,90256476,ACECLOFENACO - GENERICO (*) 100 MG. 2 BL. X 6 CPRS. REV.,EMS,2.0367,
0000049382,90264967,ACECLOFENACO - GENERICO (*) 100 MG. 2 BL. X 6 CPRS. REV.,GERMED,2.07,
0000049383,90264975,ACECLOFENACO - GENERICO (*) 100 MG. 4 BL. X 6 CPRS. REV.,GERMED,2.0708,
0000013851,90185870,ACECLOFENACO - GENERICO 100 MG. 1 STR. X 12 CPRS.,RANBAXY,2.04,
0000052948,90275489,ACECLOFENACO - GENERICO 100 MG. 2 BL. X 6 CPRS. REV. NOVA,QUIMICA,2.0267,
0000049392,90283856,ACECLOFENACO - GENERICO 100 MG. 2 BL. X 6 CPRS. REV. GEN -,LEGRAND,1.9534,
0000013852,90185889,ACECLOFENACO - GENERICO 100 MG. 2 STR. X 12 CPRS.,RANBAXY,1.9099,
0000052949,90275497,ACECLOFENACO - GENERICO 100 MG. 4 BL. X 6 CPRS. REV. NOVA,QUIMICA,1.9065,
0000073163,90414900,ACECLOFENACO - GENERICO 100 MG. BL. AL. 12 CPRS. ZYDUS,NIKKHO,2.0417,
0000024726,90051688,ACECLOFENACO - GENERICO 15 MG/G CREME DERM. BISN. 30 G,EMS,17.35,
0000024419,90081145,ACECLOFENACO - GENERICO CREME BISN. 30 G,GERMED,17.78,
0000073163,90414900,ACECLOFENACO GEN.100MG 12CPDS ZYDUS,NIKKHO,2.0409,
0000073650,90260252,ACERATUM SOL. OTOL. CT. FR. PLAST. OPC. GOT. X 10 ML CELLERA,FARMA,13.67,
0000071222,90385926,ACERTANLO 14 MG. + 10 MG. CT. TB. PLAS. PP. OPC. X 30 CPRS,SERVIER,4.2577,
0000071222,90385926,ACERTANLO 14+10MG 30CPDS,SERVIER,4.2534,
0000071223,90385950,"ACERTANLO 3,5 MG. + 2,5 MG. CT. TB. PLAS. PP. OPC. X 30 CPRS",SERVIER,1.2453,
0000071223,90385950,"ACERTANLO 3,5+2,5MG 30CPDS",SERVIER,1.2441,
0000071224,90385985,ACERTANLO 7 MG. + 5 MG. CT. TB. PLAS. PP. OPC. X 30 CPRS,SERVIER,1.694,
0000071224,90385985,ACERTANLO 7+5MG 30CPDS,SERVIER,1.6923,
0000055762,90288084,ACERTIL 10 MG. CX. TB. PLAST. X 30,SERVIER,1.8268,
0000063469,90288050,ACERTIL 5 MG. CX. TB. PLAST. X 30,SERVIER,1.37,
0000063469,90288050,ACERTIL 5MG 30CPDS,SERVIER,1.37,
0000044905,90247612,ACESYL 100 MG/ML SOL. INJ. CX. 50 AMPS. VD. AMB. X 1 ML CASULA E,VASCONCELO,10.0106,
0000075885,90413652,ACETATO ABIRATERONA 250MG 120CPDS SUN,FARMACEUTICA,62.8238,
0000074032,90398661,ACETATO ABIRATERONA GEN.250MG 120CPDS REV.,DR.REDDY'S,62.8191,
0000074297,90398645,ACETATO ABIRATERONA GEN.250MG 30CPDS REV.,DR.REDDY'S,63.0129,
0000074298,90398653,ACETATO ABIRATERONA GEN.250MG 60CPDS REV.,DR.REDDY'S,63.2022,
0000074138,90415183,"ACETATO ATOSIBANA GEN.7,50MG/ML SOL.DIL.INJ.5ML",ACCORD,481.57,
0000073931,90356276,"ACETATO CIPROTERONA+ETINILESTRADIOL 2+0,035MG 21CPDS REV.",CIFARMA,0.6683,
0000074032,90398661,ACETATO DE ABIRATERONA - GENERICO 250 MG. CT. FR. PLAS. OPC. DR.,REDDY'S,63.0714,
0000074297,90398645,ACETATO DE ABIRATERONA - GENERICO 250 MG. CT. FR. PLAS. OPC. DR.,REDDY'S,63.076,
0000074298,90398653,ACETATO DE ABIRATERONA - GENERICO 250 MG. CT. FR. PLAS. OPC. DR.,REDDY'S,63.076,
0000075885,90413652,ACETATO DE ABIRATERONA - GENERICO 250 MG. CT. FR. PLAST. OPC.,SUN,62.8238,
0000074138,90415183,"ACETATO DE ATOSIBANA - GENERICO (RESTRITO HOSP.) 7,50 MG/ML.",ACCORD,481.57,
0000073931,90356276,ACETATO DE CIPROTERONA + ETINILESTRADIOL - GENERICO 2 MG. + 0,MABRA,0.6686,
0000073931,90356276,ACETATO DE CIPROTERONA + ETINILESTRADIOL - GENERICO 2 MG. + 0,MABRA,0.6686,
0000055274,90282930,"ACETATO DE CIPROTERONA + ETINILESTRADIOL - GENERICO 2,0 MG. NEO",QUIMICA,0.6778,
0000029389,90120655,ACETATO DE CIPROTERONA - GENERICO 50 MG. BL. 20 CPRS.,BERGAMO,3.299,
0000025779,90316428,ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA - GENERICO 5 MG/,MEDLEY,19.79,
0000025780,90316410,ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA - GENERICO 5 MG/,MEDLEY,33.75,
0000026859,90120663,"ACETATO DE DESMOPRESSINA - GENERICO 0,1 MG/ML SPRAY NASAL 1",BERGAMO,140.3,
0000036792,90135032,ACETATO DE DEXAMETASONA - GENERICO (RESTRITO HOSP.) 1 MG/G C TEUTO,BRAS.,5.2926,REAL
0000048255,90177789,ACETATO DE DEXAMETASONA - GENERICO (RESTRITO HOSP.) 1 MG/G C PRATI,DONADUZZI,4.6019,REAL
0000075335,90385837,ACETATO DE DEXAMETASONA - GENERICO (RESTRITO HOSP.) 1 MG/G CR,SANVAL,7.082,
0000024956,90177770,ACETATO DE DEXAMETASONA - GENERICO 1 MG/G CREM. DERM. CT. BG PRATI,DONADUZZI,7.04,
0000029438,90135016,ACETATO DE DEXAMETASONA - GENERICO 1 MG/G CREME DERM. 10 G TEUTO,BRAS.,7.02,
0000016905,90206517,ACETATO DE DEXAMETASONA - GENERICO 1 MG/G CREME DERM. BISN. UNIAO,QUIMICA,6.25,
0000025990,90051696,ACETATO DE DEXAMETASONA - GENERICO 1 MG/G CREME DERM. BISN.,EMS,7.08,
0000027361,90081153,ACETATO DE DEXAMETASONA - GENERICO 1 MG/G CREME DERM. BISN.,GERMED,7.1,
0000065533,90354176,"ACETATO DE DEXAMETASONA - GENERICO 1,0 MG/G CREME DERM. BISN",MULTILAB,7.1,
0000071742,90279425,ACETATO DE DEXAMETASONA - GENERICO CREME DERM. 1 MG/G BISN.,GEOLAB,6.57,
0000012031,90206533,ACETATO DE HIDROCORTISONA - GENERICO 10 MG/G CREME DERM. BIS UNIAO,QUIMICA,8.87,
0000035604,90135059,ACETATO DE HIDROCORTISONA - GENERICO 10 MG/G CREME DERM. BIS TEUTO,BRAS.,15.06,
0000035603,90135040,ACETATO DE HIDROCORTISONA - GENERICO 10 MG/G CREME DERM. BIS TEUTO,BRAS.,8.33,
0000070726,90381076,ACETATO DE HIDROCORTISONA - GENERICO 10 MG/G CREME DERM. BIS TEUTO,BRAS.,9.59,
0000071743,90280687,ACETATO DE PREDNISOLONA - GENERICO SUSP. OFT. 10 MG/ML FR. 5,GEOLAB,21.17,
0000074860,90037588,ACETATO DE SÓDIO (RESTRITO HOSP.) 2 MEQ/ML. SOL. INJ. IV CX. CASULA E,VASCONCELO,2.3128,
0000070726,90381076,ACETATO HIDROCORTISONA GEN.10MG/G CRM.DERM.20G TEUTO,BRAS,9.59,
0000069631,90297296,ACETATO PREDNISOLONA 10MG/ML SUSP.OFT.5ML,ALCON,19.85,
0000012448,90266200,ACETICIL 100 MG. CX. 200 CPRS.,CAZI,0.1427,
0000012449,90266218,ACETICIL 500 MG. CX. 500 CPRS.,CAZI,0.2116,
0000073014,90259211,ACETILCISTEINA - GENERICO (LIBERADO) 20 MG/ML XPE. FR. VD. AM TEUTO,BRAS.,24.31,
0000073015,90259220,ACETILCISTEINA - GENERICO (LIBERADO) 40 MG/ML XPE. FR. VD. AM TEUTO,BRAS.,31.8,
0000048741,90219180,ACETILCISTEINA - GENERICO (RESTRITO HOSP.) 100 MG/ML SOL. IN,BLAUSIEGEL,2.6591,REAL
0000009931,90288130,ACETILCISTEINA - GENERICO 10% SOL. INJ. 5 AMPS. VD. X 3 ML UNIAO,QUIMICA,2.676,
0000009943,90251105,ACETILCISTEINA - GENERICO 100 MG 16 SACHET X 5 G,EUROFARMA,1.2344,
0000074086,90274342,ACETILCISTEINA - GENERICO 120 MG/G. GRAN. CT. C/16 ENV. X 5 G PRATI,DONADUZZI,2.7225,
0000074079,90274326,ACETILCISTEINA - GENERICO 20 MG/G. GRAN. CT. C/16 ENV. X 5 G. PRATI,DONADUZZI,1.2681,
0000071055,90381360,ACETILCISTEINA - GENERICO 20 MG/ML XPE. CT. FR. VD. AMB. X 1,BIOSINTETICA,21.61,
0000051560,90259211,ACETILCISTEINA - GENERICO 20 MG/ML XPE. FR. VD. AMB. X 120 M TEUTO,BRAS.,24.31,
0000009934,90051742,ACETILCISTEINA - GENERICO 20 MG/ML XPE. INF. FR. 120 ML,EMS,21.82,
0000009968,90081218,ACETILCISTEINA - GENERICO 20 MG/ML XPE. INF. FR. 120 ML,GERMED,19.7,
0000074083,90274245,"ACETILCISTEINA - GENERICO 20,0 MG/ML. XPE. CT. FR. VD. AMB. X PRATI",DONADUZZI,22.43,
0000009944,90251113,ACETILCISTEINA - GENERICO 200 MG 16 SACHET X 5 G,EUROFARMA,1.3775,
0000009933,90051734,ACETILCISTEINA - GENERICO 200 MG. GRAN. 16 ENVS. X 5 G,EMS,1.2025,
0000074081,90274300,ACETILCISTEINA - GENERICO 40 MG/G. GRAN. CT. C/16 ENV. X 5 G. PRATI,DONADUZZI,1.3606,
0000009935,90051750,ACETILCISTEINA - GENERICO 40 MG/ML XPE. AD. FR. 120 ML,EMS,28.54,
0000009969,90081226,ACETILCISTEINA - GENERICO 40 MG/ML XPE. AD. FR. 120 ML,GERMED,26.27,
0000071056,90381378,ACETILCISTEINA - GENERICO 40 MG/ML XPE. CT. FR. VD. AMB. X 1,BIOSINTETICA,28.27,
0000052151,90259220,ACETILCISTEINA - GENERICO 40 MG/ML XPE. FR. VD. AMB. X 120 M TEUTO,BRAS.,31.8,
0000074085,90274270,"ACETILCISTEINA - GENERICO 40,0 MG/ML. XPE. CT. FR. VD. AMB. X PRATI",DONADUZZI,29.23,
0000009945,90251121,ACETILCISTEINA - GENERICO 600 MG 16 SACHET X 5 G,EUROFARMA,3.0656,
0000062138,90264835,ACETILCISTEINA - GENERICO 600 MG. 16 ENVS. X 5 G,GERMED,2.325,
0000009979,90141725,ACETILCISTEINA - GENERICO 600 MG. 16 ENVS. X 5 G GEN -,LEGRAND,2.3175,
0000009941,90251083,ACETILCISTEINA - GENERICO XPE 20 MG FR. 100 ML.,EUROFARMA,22.05,
0000009942,90251091,ACETILCISTEINA - GENERICO XPE 20 MG FR. 150 ML,EUROFARMA,24.88,
0000074488,90078608,ACETILCISTEINA - GENERICO XPE AD. 40 MG/ML. FR. X 120 ML.,GEOLAB,27.42,
0000074489,90078594,ACETILCISTEINA - GENERICO XPE INF. 20 MG/ML. FR. X 120 ML.,GEOLAB,18.44,
0000071055,90381360,ACETILCISTEINA GEN.20MG/ML XPE.120ML+CP.MED.,BIOSINTETICA,21.61,
0000071056,90381378,ACETILCISTEINA GEN.40MG/ML XPE.120ML+CP.MED.,BIOSINTETICA,28.27,
0000062138,90264835,ACETILCISTEINA GEN.600MG 16ENV 5G GERMED,GENERICOS,2.325,
0000016245,90245857,ACETONIDA DE TRIANCINOLONA - GENERICO 1 MG/G BISN. 10 G GEN -,LEGRAND,9.29,
0000016244,90081269,ACETONIDA DE TRIANCINOLONA - GENERICO 1 MG/G POM. BISN. 10 G,GERMED,9.36,
0000016243,90177797,ACETONIDA DE TRIANCINOLONA - GENERICO 1 MG/G POM. BUCAL CT. PRATI,DONADUZZI,9.22,
0000071744,90078616,ACETONIDA DE TRIANCINOLONA - GENERICO POM. ORABASE 1 MG/G BI,GEOLAB,10.57,
0000010730,90051793,ACETONIDA TRIANC. + GRAM. + NEOMICINA + NISTATINA - GENERICO,EMS,23.66,
0000033536,90071328,ACETONIDA TRIANC. + GRAM. + NEOMICINA + NISTATINA - GENERICO,EUROFARMA,26.6,
0000010731,90071336,ACETONIDA TRIANC. + GRAM. + NEOMICINA + NISTATINA - GENERICO,EUROFARMA,24.37,
0000010737,90081242,ACETONIDA TRIANC. + GRAM. + NEOMICINA + NISTATINA - GENERICO,GERMED,23.14,
0000012450,90037669,ACFOL 5 MG. CX. 40 CPRS.,CAZI,0.246,
0000012451,90037677,ACFOL 5 MG. GTS. FR. 10 ML,CAZI,8.42,
0000068053,90342453,ACICLOVIR - GENERICO (*) 200 MG COM CT BL AL PLAS TRANS X 25,PHARLAB,2.5172,
0000052708,90167783,ACICLOVIR - GENERICO (*) 200 MG. 2 BL. X 5 CPRS. NOVA,QUIMICA,5.612,
0000071066,90391802,ACICLOVIR - GENERICO (*) 200 MG. 25 CPRS.,MEDLEY,2.3192,
0000074174,90407466,ACICLOVIR - GENERICO (*) 200 MG. 3 BL. X 10 CPRS. NOVA,QUIMICA,2.141,
0000052709,90167791,ACICLOVIR - GENERICO (*) 200 MG. 5 BL. X 5 CPRS. NOVA,QUIMICA,3.8892,
0000040635,90124596,ACICLOVIR - GENERICO (*) 200 MG. BL. 25 CPRS.,BIOSINTETICA,3.3564,
0000037397,90189655,ACICLOVIR - GENERICO (*) 200 MG. BL. 25 CPRS.,SANDOZ,3.318,
0000060094,90312201,ACICLOVIR - GENERICO (*) 200 MG. BL. AL. PLAS. INC. X 25 CPR TEUTO,BRAS.,2.3056,
0000073935,90402936,ACICLOVIR - GENERICO (*) 200 MG. BL. AL. PLAS. TRANS. X 50 CP,SANDOZ,1.7112,
0000043377,90177819,ACICLOVIR - GENERICO (*) 200 MG. COM. CT. BL. AL. PLAS. INC. PRATI,DONADUZZI,1.6662,
0000072173,90377958,ACICLOVIR - GENERICO (*) 200 MG. CT. BL. AL. PLAS. INC. X 25,EUROFARMA,2.3056,
0000013832,90334329,ACICLOVIR - GENERICO (*) 200 MG. CX. 5 BL. X 5 CPRS. NEO,QUIMICA,2.3444,
0000030633,90159330,ACICLOVIR - GENERICO (*) 200 MG. FR. PLAST. 25 CPRS.,MERCK,3.2228,
0000030634,90159349,ACICLOVIR - GENERICO (*) 400 MG FR. PLAST. 30 CPRS.,MERCK,5.2677,
0000071067,90391799,ACICLOVIR - GENERICO (*) 400 MG. 30 CPRS.,MEDLEY,4.218,
0000041442,90227417,ACICLOVIR - GENERICO (*) 400 MG. BL. AL. PLAST. BCO OPC X 30,SANDOZ,5.2674,
0000073268,90342470,"ACICLOVIR - GENERICO (*) POM. 30 MG/G BISN. 4,5 G",PHARLAB,48.81,
0000039591,90312210,ACICLOVIR - GENERICO (RESTRITO HOSP.) 250 MG. PO LIOF. IV IN TEUTO,BRAS.,71.1206,REAL
0000053304,90177851,ACICLOVIR - GENERICO (RESTRITO HOSP.) 50 MG/G CREM. DERM. CX PRATI,DONADUZZI,14.1443,REAL
0000005789,90185897,ACICLOVIR - GENERICO 200 MG. 2 BL. X 5 CPRS.,RANBAXY,2.812,
0000005790,90185900,ACICLOVIR - GENERICO 200 MG. 5 BL. X 5 CPRS.,RANBAXY,2.3444,
0000074216,90429150,ACICLOVIR - GENERICO 200 MG. CT. BL. AL. PLAS. INC. X 30 CPRS UNIAO,QUIMICA,1.8327,
0000005788,90185919,ACICLOVIR - GENERICO 400 MG. 1 BL. X 10 CPRS.,RANBAXY,5.627,
0000005791,90185927,ACICLOVIR - GENERICO 400 MG. 5 BL. X 5 CPRS.,RANBAXY,4.6896,
0000075836,90412389,ACICLOVIR - GENERICO 400 MG. BL. 30 CPRS.,RANBAXY,5.1535,
0000068052,90342461,ACICLOVIR - GENERICO 50 MG/G CREM DERM CT BG AL X 10 G,PHARLAB,16.45,
0000029029,90167805,ACICLOVIR - GENERICO 50 MG/G CR. DERM. BISN. 10 G NOVA,QUIMICA,19.33,
0000077220,90438965,ACICLOVIR - GENERICO 50 MG/G CREM. BISN. X 10 G,ACHE,17.36,
0000024960,90177843,ACICLOVIR - GENERICO 50 MG/G CREM. DERM. CT. BG. AL. X 10 G PRATI,DONADUZZI,17.17,
0000005775,90051831,ACICLOVIR - GENERICO 50 MG/G CREME DERM. BISN. 10 G,EMS,19.51,
0000033658,90040570,ACICLOVIR - GENERICO 50 MG/G CREME DERM. BISN. 10 GR.,CIFARMA,17.93,
0000053629,90044916,ACICLOVIR - GENERICO 50 MG/G CREME DERM. CX. 1 BISN. 10 G.,EUROFARMA,17.2,
0000040636,90124600,ACICLOVIR - GENERICO 50 MG/G CREME DERM. X 10 G,BIOSINTETICA,17.36,
0000034671,90163524,ACICLOVIR - GENERICO CREME 10 G,MULTILAB,16.65,
0000005784,90334221,ACICLOVIR - GENERICO CREME 50 MG/G BISN. 10 G NEO,QUIMICA,18.03,
0000005780,90311906,ACICLOVIR - GENERICO CREME 50 MG/G BISN. 10 G. TEUTO,BRAS.,17.69,
0000005798,90081277,ACICLOVIR - GENERICO CREME BISN. 10 G,GERMED,17.23,
0000005799,90141750,ACICLOVIR - GENERICO CREME BISN. 10 G GEN -,LEGRAND,17.34,
0000030638,90159365,ACICLOVIR - GENERICO CREME DERM. 50 MG/G BISN. 10 G,MERCK,16.28,
0000071745,90078624,ACICLOVIR - GENERICO CREME DERM. 50 MG/G BISN. 10 G,GEOLAB,18.07,
0000005781,90315294,ACICLOVIR - GENERICO CREME DERM. BISN. 10 G.,MEDLEY,18.98,
0000074174,90407466,ACICLOVIR 200MG 30CPDS NOVA QUIMICA,GEN,2.1389,
0000075836,90412389,ACICLOVIR 400MG 30CPDS,RANBAXY,5.1535,
0000060094,90312201,ACICLOVIR GEN.200MG 25CPDS TEUTO,BRAS,2.3056,
0000072173,90377958,ACICLOVIR GEN.200MG 25CPDS,EUROFARMA,2.3056,
0000074216,90429150,ACICLOVIR GEN.200MG 30CPDS UNIAO,QUIMICA,1.8308,
0000073935,90402936,ACICLOVIR GEN.200MG 50CPDS,SANDOZ,1.7112,
0000071066,90391802,ACICLOVIR GEN.200MG FR 25CPDS,MEDLEY,2.3192,
0000071067,90391799,ACICLOVIR GEN.400MG 30CPDS,MEDLEY,4.2138,
0000009183,90051840,ACIDO ACETIL SALICILICO - GENERICO 100 MG. 100 CPRS.,EMS,0.2346,
0000009182,90051858,ACIDO ACETIL SALICILICO - GENERICO 100 MG. 20 BL. X 10 CPRS.,EMS,0.2162,
0000009181,90051866,ACIDO ACETIL SALICILICO - GENERICO 100 MG. 3 BL. X 10 CPRS.,EMS,0.2274,
0000057765,90310624,ACIDO ASCORBICO (RESTRITO HOSP.) 100 MG/ML SOL. INJ. IV CX.,HYPOFARMA,0.6546,
0000038782,90051882,ACIDO FUSIDICO + VAL. BETAMET. - GENERICO 20 MG/G + 1 MG/G C,EMS,37.81,
0000047666,90167813,ACIDO FUSIDICO + VALERATO DE BETAMETASONA - GENERICO 20 MG/G NOVA,QUIMICA,38.59,
0000056031,90287380,ACIDO FUSIDICO - GENERICO 20 MG/G CREME DERM. CT. BG. AL. X PRATI,DONADUZZI,28.55,
0000034879,90375084,ACIDO FUSIDICO - GENERICO CREME 20 MG/G BISN. 15 G NEO,QUIMICA,29.8,
0000033192,90051890,ACIDO MEFENAMICO - GENERICO 500 MG. 2 BL. X 12 CPRS.,EMS,0.638,
0000033195,90370228,ACIDO MEFENAMICO - GENERICO 500 MG. 2 BL. X 12 CPRS.,GERMED,0.6393,
0000031980,90370210,ACIDO MEFENAMICO - GENERICO 500 MG. 2 BL. X 12 CPRS. GEN -,LEGRAND,0.6393,
0000031059,90316541,ACIDO MEFENAMICO - GENERICO 500 MG. BL. 12 CPRS.,MEDLEY,0.6372,
0000016931,90124618,ACIDO MEFENAMICO - GENERICO 500 MG. BL. 24 CPRS.,BIOSINTETICA,0.6276,
0000031060,90316550,ACIDO MEFENAMICO - GENERICO 500 MG. BL. 24 CPRS.,MEDLEY,0.638,
0000070697,90269993,ACIDO TRANEXAMICO - GENERICO (RESTRITO HOSP.) 50 MG/ML SOL.,HIPOLABOR,5.291,
0000041799,90051904,ACIDO TRANEXAMICO - GENERICO 250 MG. BL. 12 CPRS.,EMS,2.6648,
0000043779,90141776,ACIDO TRANEXAMICO - GENERICO 250 MG. BL. 12 CPRS. GEN -,LEGRAND,2.6648,
0000057981,90288149,ACIDO TRANEXAMICO - GENERICO 50 MG/ML SOL. INJ. CX. 5 AMPS. BLAU,FARM.,2.644,
0000057981,90288149,ACIDO TRANEXAMICO GEN.50MG/ML SOL.INJ.5AMP 5ML,BLAU,2.644,
0000075613,90396634,ACIDO VALPROICO - GENERICO 250 MG. 25 CAPS. GEL MOLE BIOLAB,GENERICOS,0.4636,
0000075613,90396634,ACIDO VALPROICO 250MG 25CAPS GEL.MOLE BIOLAB,GENERICOS,0.4636,
0000075636,90396677,ACIDO VALPROICO 576MG 50CPDS REV. BIOLAB,GENERICOS,0.7026,
0000077081,90430506,"ACIDO ZOLEDRONICO - GENERICO (ICMS 0%) (RESTRITO HOSP.) 0,8 M",MYLAN,803.34,
0000077082,90430514,"ACIDO ZOLEDRONICO - GENERICO (ICMS 0%) (RESTRITO HOSP.) 0,8 M",MYLAN,803.34,
0000077083,90430522,"ACIDO ZOLEDRONICO - GENERICO (ICMS 0%) (RESTRITO HOSP.) 0,8 M",MYLAN,803.341,
